# Truth table
# Generated from circuit ALUControl
# Exported on Wed Dec 20 00:02:56 BRT 2023

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' or '-' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

Funct[5..0] ALUOp[1..0] | AInv BInv ALUOperationSel[1..0]
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
  ------        00      |  0    0            10          
  ------        01      |  0    1            10          
  000000        10      |  0    0            10          
  000000        11      |  0    0            10          
  000001        10      |  0    0            11          
  000001        11      |  0    1            11          
  000010        10      |  0    1            10          
  000010        11      |  0    1            10          
  000011        10      |  0    1            10          
  000011        11      |  0    1            10          
  000100        10      |  0    0            00          
  000100        11      |  0    1            00          
  000101        10      |  0    0            01          
  000101        11      |  0    1            01          
  000110        10      |  1    1            01          
  000110        11      |  1    1            01          
  000111        10      |  1    1            00          
  000111        11      |  1    1            00          
  001000        10      |  0    0            11          
  001000        11      |  0    1            11          
  001001        10      |  0    0            11          
  001001        11      |  0    1            11          
  001010        10      |  0    1            11          
  001010        11      |  0    1            11          
  001011        10      |  0    1            11          
  001011        11      |  0    1            11          
  001100        10      |  0    0            01          
  001100        11      |  0    1            01          
  001101        10      |  0    0            01          
  001101        11      |  0    1            01          
  001110        10      |  1    1            01          
  001110        11      |  1    1            01          
  001111        10      |  1    1            01          
  001111        11      |  1    1            01          
  010000        10      |  0    0            10          
  010000        11      |  0    1            10          
  010001        10      |  0    0            11          
  010001        11      |  0    1            11          
  010010        10      |  0    1            10          
  010010        11      |  0    1            10          
  010011        10      |  0    1            10          
  010011        11      |  0    1            10          
  010100        10      |  0    0            00          
  010100        11      |  0    1            00          
  010101        10      |  0    0            01          
  010101        11      |  0    1            01          
  010110        10      |  1    1            01          
  010110        11      |  1    1            01          
  010111        10      |  1    1            00          
  010111        11      |  1    1            00          
  011000        10      |  0    0            11          
  011000        11      |  0    1            11          
  011001        10      |  0    0            11          
  011001        11      |  0    1            11          
  011010        10      |  0    1            11          
  011010        11      |  0    1            11          
  011011        10      |  0    1            11          
  011011        11      |  0    1            11          
  011100        10      |  0    0            01          
  011100        11      |  0    1            01          
  011101        10      |  0    0            01          
  011101        11      |  0    1            01          
  011110        10      |  1    1            01          
  011110        11      |  1    1            01          
  011111        10      |  1    1            01          
  011111        11      |  1    1            01          
  100000        10      |  0    0            10          
  100000        11      |  0    1            10          
  100001        10      |  0    0            11          
  100001        11      |  0    1            11          
  100010        10      |  0    1            10          
  100010        11      |  0    1            10          
  100011        10      |  0    1            10          
  100011        11      |  0    1            10          
  100100        10      |  0    0            00          
  100100        11      |  0    1            00          
  100101        10      |  0    0            01          
  100101        11      |  0    1            01          
  100110        10      |  1    1            01          
  100110        11      |  1    1            01          
  100111        10      |  1    1            00          
  100111        11      |  1    1            00          
  101000        10      |  0    0            11          
  101000        11      |  0    1            11          
  101001        10      |  0    0            11          
  101001        11      |  0    1            11          
  101010        10      |  0    1            11          
  101010        11      |  0    1            11          
  101011        10      |  0    1            11          
  101011        11      |  0    1            11          
  101100        10      |  0    0            01          
  101100        11      |  0    1            01          
  101101        10      |  0    0            01          
  101101        11      |  0    1            01          
  101110        10      |  1    1            01          
  101110        11      |  1    1            01          
  101111        10      |  1    1            01          
  101111        11      |  1    1            01          
  110000        10      |  0    0            10          
  110000        11      |  0    1            10          
  110001        10      |  0    0            11          
  110001        11      |  0    1            11          
  110010        10      |  0    1            10          
  110010        11      |  0    1            10          
  110011        10      |  0    1            10          
  110011        11      |  0    1            10          
  110100        10      |  0    0            00          
  110100        11      |  0    1            00          
  110101        10      |  0    0            01          
  110101        11      |  0    1            01          
  110110        10      |  1    1            01          
  110110        11      |  1    1            01          
  110111        10      |  1    1            00          
  110111        11      |  1    1            00          
  111000        10      |  0    0            11          
  111000        11      |  0    1            11          
  111001        10      |  0    0            11          
  111001        11      |  0    1            11          
  111010        10      |  0    1            11          
  111010        11      |  0    1            11          
  111011        10      |  0    1            11          
  111011        11      |  0    1            11          
  111100        10      |  0    0            01          
  111100        11      |  0    1            01          
  111101        10      |  0    0            01          
  111101        11      |  0    1            01          
  111110        10      |  1    1            01          
  111110        11      |  1    1            01          
  111111        10      |  1    1            01          
  111111        11      |  1    1            01          
